Year,Month_Name,Region,SalesOfficeCode,SalesOffice_Name,Segment,SKU_Code,Demand
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,0EB5E8CB5940C178,188
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,1593A6FE92377DAB,12
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,262A10454E0E51B0,20
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,42F7D1FF825B9AF6,1222
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,53A70623FCB14AF7,128
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,6C2F3A0D0E3DA032,76
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,7629C9493049A252,576
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,897C88AC56E63B97,640
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,9BCFAA110187541B,1056
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,AAD09B4074251E6C,12
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,C73FB0C16AE114A1,-52
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,CEDBA05793A01691,12
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,DBD380A7C7A642DF,36
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,F54AB9F7D8DE94B5,-100
2022,April,Pon,P001,West Bengal,0E47156AA8BADEA9,F813ADC011A97FF3,524
2022,April,Pon,P001,West Bengal,1F89687049931ABB,2EB255BBFA3B62BE,72
2022,April,Pon,P001,West Bengal,1F89687049931ABB,3019213CC840BE14,588
2022,April,Pon,P001,West Bengal,1F89687049931ABB,31483118179FCC57,24
2022,April,Pon,P001,West Bengal,1F89687049931ABB,354BBD3E95876EA3,180
2022,April,Pon,P001,West Bengal,1F89687049931ABB,39B63C81455504B1,48
2022,April,Pon,P001,West Bengal,1F89687049931ABB,88BD903EFD9D521D,156
2022,April,Pon,P001,West Bengal,1F89687049931ABB,9BA620DBB037DCF2,360
2022,April,Pon,P001,West Bengal,1F89687049931ABB,CBDA8500760B90D4,108
2022,April,Pon,P001,West Bengal,1F89687049931ABB,E1890B12BFAEF0F7,72
2022,April,Pon,P001,West Bengal,1F89687049931ABB,F348A552F88003A8,66
2022,April,Pon,P001,West Bengal,80DF0845600466AF,0DB5F9904363CF0B,1
2022,April,Pon,P001,West Bengal,80DF0845600466AF,206A03BF38A776A3,1
2022,April,Pon,P001,West Bengal,80DF0845600466AF,33518F7CC2B9972A,1
2022,April,Pon,P001,West Bengal,80DF0845600466AF,41573C5BDC8F6D37,3
2022,April,Pon,P001,West Bengal,80DF0845600466AF,56FAA783F3EB7732,1
2022,April,Pon,P001,West Bengal,80DF0845600466AF,5FD681F9BA5BD1C1,2
2022,April,Pon,P001,West Bengal,80DF0845600466AF,7F3951C6A2D5094B,1
2022,April,Pon,P001,West Bengal,80DF0845600466AF,DD8F8D12207142EB,2
2022,April,Pon,P001,West Bengal,80DF0845600466AF,E5CCC224A862F7C6,1
2022,April,Pon,P001,West Bengal,9EEEB0B414174C11,9704CDEE9F342BB1,8
2022,April,Pon,P001,West Bengal,9EEEB0B414174C11,9F64CB15EB03D891,116
2022,April,Pon,P001,West Bengal,A6F6609514B57A1D,18C8CCD92AD175AE,48
2022,April,Pon,P001,West Bengal,A6F6609514B57A1D,94AE916B1A9A408D,66
2022,April,Pon,P001,West Bengal,FDA2315872D00838,32C6B8C26C932255,168
2022,April,Pon,P001,West Bengal,FDA2315872D00838,DF218D62EA1C6F00,24
2022,April,Pon,P001,West Bengal,FDA2315872D00838,EE87C9F3BBAF2E8B,24
2022,April,Pon,P001,West Bengal,FDA2315872D00838,F4341E132D70AB27,48
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,0EB5E8CB5940C178,204
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,2ADE298E9434DADA,46
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,42F7D1FF825B9AF6,246
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,6C2F3A0D0E3DA032,8
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,7629C9493049A252,64
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,897C88AC56E63B97,132
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,9BCFAA110187541B,456
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,DBD380A7C7A642DF,16
2022,April,Pon,P002,Assam,0E47156AA8BADEA9,F813ADC011A97FF3,243
2022,April,Pon,P002,Assam,1F89687049931ABB,182455F8B0533483,84
2022,April,Pon,P002,Assam,1F89687049931ABB,2EB255BBFA3B62BE,12
2022,April,Pon,P002,Assam,1F89687049931ABB,3019213CC840BE14,252
2022,April,Pon,P002,Assam,1F89687049931ABB,31483118179FCC57,10
2022,April,Pon,P002,Assam,1F89687049931ABB,354BBD3E95876EA3,24
2022,April,Pon,P002,Assam,1F89687049931ABB,39B63C81455504B1,36
2022,April,Pon,P002,Assam,1F89687049931ABB,4DBE7C985C39C2A8,-1
2022,April,Pon,P002,Assam,1F89687049931ABB,88BD903EFD9D521D,84
2022,April,Pon,P002,Assam,1F89687049931ABB,9BA620DBB037DCF2,132
2022,April,Pon,P002,Assam,1F89687049931ABB,CBDA8500760B90D4,72
2022,April,Pon,P002,Assam,1F89687049931ABB,E1890B12BFAEF0F7,12
2022,April,Pon,P002,Assam,1F89687049931ABB,F348A552F88003A8,55
2022,April,Pon,P002,Assam,80DF0845600466AF,31980371CCA1D273,-1
2022,April,Pon,P002,Assam,80DF0845600466AF,79B9563FE3174D02,2
2022,April,Pon,P002,Assam,9EEEB0B414174C11,9704CDEE9F342BB1,60
2022,April,Pon,P002,Assam,9EEEB0B414174C11,9F64CB15EB03D891,120
2022,April,Pon,P002,Assam,AE170B863B8D6351,03A8BDB474066D0A,-3
2022,April,Pon,P002,Assam,AE170B863B8D6351,130B9E59957D0F74,-2
2022,April,Pon,P002,Assam,AE170B863B8D6351,41DBFBC251837827,-1
2022,April,Pon,P002,Assam,AE170B863B8D6351,9C17F3732D433B79,-2
2022,April,Pon,P002,Assam,F245EBD4F97A521D,BD82C400F2B4DD48,2
2022,April,Pon,P002,Assam,F245EBD4F97A521D,C5F911598C65723B,1
2022,April,Pon,P002,Assam,F3D2F38C4FE77930,0560C5C50A2E7A2D,12
2022,April,Pon,P002,Assam,FDA2315872D00838,32C6B8C26C932255,144
2022,April,Pon,P002,Assam,FDA2315872D00838,DF218D62EA1C6F00,48
2022,April,Pon,P002,Assam,FDA2315872D00838,EE87C9F3BBAF2E8B,96
2022,April,Pon,P002,Assam,FDA2315872D00838,F4341E132D70AB27,12
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,0EB5E8CB5940C178,46
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,2ADE298E9434DADA,2
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,7629C9493049A252,92
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,897C88AC56E63B97,90
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,9BCFAA110187541B,108
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,DBD380A7C7A642DF,48
2022,April,Pon,P003,Jharkhand,0E47156AA8BADEA9,F813ADC011A97FF3,12
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,3019213CC840BE14,72
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,31483118179FCC57,40
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,354BBD3E95876EA3,24
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,39B63C81455504B1,36
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,88BD903EFD9D521D,12
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,9BA620DBB037DCF2,32
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,CBDA8500760B90D4,36
2022,April,Pon,P003,Jharkhand,1F89687049931ABB,F348A552F88003A8,4
2022,April,Pon,P003,Jharkhand,9EEEB0B414174C11,9F64CB15EB03D891,28
2022,April,Pon,P003,Jharkhand,F245EBD4F97A521D,C5F911598C65723B,19
2022,April,Pon,P003,Jharkhand,F3D2F38C4FE77930,55945EF12213E9EF,5
2022,April,Pon,P003,Jharkhand,FDA2315872D00838,32C6B8C26C932255,12
2022,April,Pon,P003,Jharkhand,FDA2315872D00838,EE87C9F3BBAF2E8B,12
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,08FC11BDCD9845BF,4
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,0EB5E8CB5940C178,44
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,1593A6FE92377DAB,6
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,2ADE298E9434DADA,12
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,7629C9493049A252,52
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,897C88AC56E63B97,44
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,9BCFAA110187541B,134
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,DBD380A7C7A642DF,84
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,F54AB9F7D8DE94B5,4
2022,April,Pon,P004,Bihar,0E47156AA8BADEA9,F813ADC011A97FF3,24
2022,April,Pon,P004,Bihar,1F89687049931ABB,182455F8B0533483,48
2022,April,Pon,P004,Bihar,1F89687049931ABB,3019213CC840BE14,38
2022,April,Pon,P004,Bihar,1F89687049931ABB,31483118179FCC57,16
2022,April,Pon,P004,Bihar,1F89687049931ABB,39B63C81455504B1,42
2022,April,Pon,P004,Bihar,1F89687049931ABB,9BA620DBB037DCF2,84
2022,April,Pon,P004,Bihar,1F89687049931ABB,E1890B12BFAEF0F7,36
2022,April,Pon,P004,Bihar,1F89687049931ABB,F348A552F88003A8,30
2022,April,Pon,P004,Bihar,80DF0845600466AF,1C0B4DF6F4E89D97,1
2022,April,Pon,P004,Bihar,80DF0845600466AF,CECA97C3105F8B08,5
